国名,人数,年月日
韓国,565251,2023/1/1
韓国,568622,2023/2/1
韓国,466810,2023/3/1
韓国,466987,2023/4/1
韓国,515717,2023/5/1
韓国,545100,2023/6/1
韓国,626800,2023/7/1
中国,31291,2023/1/1
中国,36285,2023/2/1
中国,75814,2023/3/1
中国,108295,2023/4/1
中国,134510,2023/5/1
中国,208500,2023/6/1
中国,313300,2023/7/1
台湾,259340,2023/1/1
台湾,248493,2023/2/1
台湾,278902,2023/3/1
台湾,291564,2023/4/1
台湾,303343,2023/5/1
台湾,389000,2023/6/1
台湾,422300,2023/7/1
香港,151939,2023/1/1
香港,119405,2023/2/1
香港,144881,2023/3/1
香港,152819,2023/4/1
香港,154393,2023/5/1
香港,186300,2023/6/1
香港,216400,2023/7/1
タイ,63431,2023/1/1
タイ,73292,2023/2/1
タイ,107975,2023/3/1
タイ,121022,2023/4/1
タイ,80728,2023/5/1
タイ,51300,2023/6/1
タイ,49600,2023/7/1
シンガポール,26658,2023/1/1
シンガポール,27078,2023/2/1
シンガポール,52671,2023/3/1
シンガポール,41982,2023/4/1
シンガポール,49746,2023/5/1
シンガポール,54600,2023/6/1
シンガポール,25300,2023/7/1
マレーシア,27099,2023/1/1
マレーシア,31992,2023/2/1
マレーシア,38904,2023/3/1
マレーシア,40244,2023/4/1
マレーシア,34004,2023/5/1
マレーシア,22000,2023/6/1
マレーシア,17400,2023/7/1
インドネシア,22618,2023/1/1
インドネシア,26802,2023/2/1
インドネシア,33173,2023/3/1
インドネシア,48667,2023/4/1
インドネシア,31120,2023/5/1
インドネシア,39300,2023/6/1
インドネシア,28500,2023/7/1
フィリピン,29679,2023/1/1
フィリピン,33934,2023/2/1
フィリピン,46569,2023/3/1
フィリピン,62794,2023/4/1
フィリピン,49939,2023/5/1
フィリピン,54200,2023/6/1
フィリピン,51700,2023/7/1
ベトナム,51564,2023/1/1
ベトナム,55847,2023/2/1
ベトナム,53653,2023/3/1
ベトナム,55193,2023/4/1
ベトナム,45768,2023/5/1
ベトナム,38900,2023/6/1
ベトナム,44800,2023/7/1
インド,9057,2023/1/1
インド,7051,2023/2/1
インド,14864,2023/3/1
インド,16272,2023/4/1
インド,17992,2023/5/1
インド,14200,2023/6/1
インド,13100,2023/7/1
イスラエル,824,2023/1/1
イスラエル,1216,2023/2/1
イスラエル,8229,2023/3/1
イスラエル,7403,2023/4/1
イスラエル,3766,2023/5/1
トルコ,1704,2023/1/1
トルコ,1107,2023/2/1
トルコ,2088,2023/3/1
トルコ,3718,2023/4/1
トルコ,2336,2023/5/1
GCC6か国,1510,2023/1/1
GCC6か国,1560,2023/2/1
GCC6か国,2024,2023/3/1
GCC6か国,2693,2023/4/1
GCC6か国,2644,2023/5/1
マカオ,1319,2023/1/1
マカオ,1757,2023/2/1
マカオ,2950,2023/3/1
マカオ,3299,2023/4/1
マカオ,4230,2023/5/1
モンゴル,2961,2023/1/1
モンゴル,2058,2023/2/1
モンゴル,3072,2023/3/1
モンゴル,3230,2023/4/1
モンゴル,2865,2023/5/1
その他アジア,17411,2023/1/1
その他アジア,14847,2023/2/1
その他アジア,20928,2023/3/1
その他アジア,29886,2023/4/1
その他アジア,26227,2023/5/1
英国,15096,2023/1/1
英国,15579,2023/2/1
英国,34803,2023/3/1
英国,36527,2023/4/1
英国,27739,2023/5/1
英国,20400,2023/6/1
英国,27000,2023/7/1
フランス,9771,2023/1/1
フランス,12251,2023/2/1
フランス,21223,2023/3/1
フランス,34421,2023/4/1
フランス,26754,2023/5/1
フランス,17700,2023/6/1
フランス,31100,2023/7/1
ドイツ,7380,2023/1/1
ドイツ,9302,2023/2/1
ドイツ,25898,2023/3/1
ドイツ,27362,2023/4/1
ドイツ,23118,2023/5/1
ドイツ,13700,2023/6/1
ドイツ,19100,2023/7/1
イタリア,4305,2023/1/1
イタリア,4627,2023/2/1
イタリア,12737,2023/3/1
イタリア,15619,2023/4/1
イタリア,11828,2023/5/1
イタリア,10200,2023/6/1
イタリア,14000,2023/7/1
スペイン,3075,2023/1/1
スペイン,3322,2023/2/1
スペイン,7557,2023/3/1
スペイン,8302,2023/4/1
スペイン,8581,2023/5/1
スペイン,8700,2023/6/1
スペイン,13000,2023/7/1
ロシア,1628,2023/1/1
ロシア,1378,2023/2/1
ロシア,3414,2023/3/1
ロシア,4421,2023/4/1
ロシア,2960,2023/5/1
ロシア,2400,2023/6/1
ロシア,3200,2023/7/1
スウェーデン,1853,2023/1/1
スウェーデン,1786,2023/2/1
スウェーデン,3534,2023/3/1
スウェーデン,4266,2023/4/1
スウェーデン,2997,2023/5/1
デンマーク,1073,2023/1/1
デンマーク,1187,2023/2/1
デンマーク,3209,2023/3/1
デンマーク,3226,2023/4/1
デンマーク,2354,2023/5/1
ノルウェー,930,2023/1/1
ノルウェー,1069,2023/2/1
ノルウェー,2779,2023/3/1
ノルウェー,2155,2023/4/1
ノルウェー,1260,2023/5/1
フィンランド,900,2023/1/1
フィンランド,1176,2023/2/1
フィンランド,2003,2023/3/1
フィンランド,1924,2023/4/1
フィンランド,1996,2023/5/1
オランダ,2359,2023/1/1
オランダ,2510,2023/2/1
オランダ,5983,2023/3/1
オランダ,8250,2023/4/1
オランダ,6927,2023/5/1
スイス,1757,2023/1/1
スイス,2211,2023/2/1
スイス,4895,2023/3/1
スイス,6887,2023/4/1
スイス,4790,2023/5/1
ベルギー,1073,2023/1/1
ベルギー,1338,2023/2/1
ベルギー,2824,2023/3/1
ベルギー,3903,2023/4/1
ベルギー,3267,2023/5/1
ポーランド,1185,2023/1/1
ポーランド,1377,2023/2/1
ポーランド,3676,2023/3/1
ポーランド,4708,2023/4/1
ポーランド,3571,2023/5/1
オーストリア,1017,2023/1/1
オーストリア,1085,2023/2/1
オーストリア,2513,2023/3/1
オーストリア,2446,2023/4/1
オーストリア,2557,2023/5/1
ポルトガル,829,2023/1/1
ポルトガル,858,2023/2/1
ポルトガル,1999,2023/3/1
ポルトガル,2485,2023/4/1
ポルトガル,2279,2023/5/1
アイルランド,1031,2023/1/1
アイルランド,1086,2023/2/1
アイルランド,2306,2023/3/1
アイルランド,2539,2023/4/1
アイルランド,2004,2023/5/1
その他ヨーロッパ,4533,2023/1/1
その他ヨーロッパ,4676,2023/2/1
その他ヨーロッパ,12784,2023/3/1
その他ヨーロッパ,14959,2023/4/1
その他ヨーロッパ,11362,2023/5/1
米国,88114,2023/1/1
米国,86946,2023/2/1
米国,203041,2023/3/1
米国,183893,2023/4/1
米国,183408,2023/5/1
米国,226800,2023/6/1
米国,198800,2023/7/1
カナダ,18738,2023/1/1
カナダ,19010,2023/2/1
カナダ,36370,2023/3/1
カナダ,36847,2023/4/1
カナダ,42285,2023/5/1
カナダ,30000,2023/6/1
カナダ,38800,2023/7/1
メキシコ,2271,2023/1/1
メキシコ,2339,2023/2/1
メキシコ,5750,2023/3/1
メキシコ,9328,2023/4/1
メキシコ,8465,2023/5/1
メキシコ,6800,2023/6/1
メキシコ,10000,2023/7/1
その他北アメリカ,791,2023/1/1
その他北アメリカ,804,2023/2/1
その他北アメリカ,1499,2023/3/1
その他北アメリカ,1542,2023/4/1
その他北アメリカ,1538,2023/5/1
ブラジル,2050,2023/1/1
ブラジル,1884,2023/2/1
ブラジル,4833,2023/3/1
ブラジル,4971,2023/4/1
ブラジル,3666,2023/5/1
その他南アメリカ,2216,2023/1/1
その他南アメリカ,2516,2023/2/1
その他南アメリカ,4862,2023/3/1
その他南アメリカ,5190,2023/4/1
その他南アメリカ,4090,2023/5/1
豪州,52553,2023/1/1
豪州,37680,2023/2/1
豪州,45189,2023/3/1
豪州,56123,2023/4/1
豪州,40816,2023/5/1
豪州,42400,2023/6/1
豪州,35600,2023/7/1
ニュージーランド,4787,2023/1/1
ニュージーランド,3891,2023/2/1
ニュージーランド,5211,2023/3/1
ニュージーランド,7738,2023/4/1
ニュージーランド,5920,2023/5/1
その他オセアニア,289,2023/1/1
その他オセアニア,202,2023/2/1
その他オセアニア,267,2023/3/1
その他オセアニア,301,2023/4/1
その他オセアニア,277,2023/5/1
無国籍・その他,27,2023/1/1
無国籍・その他,22,2023/2/1
無国籍・その他,53,2023/3/1
無国籍・その他,24,2023/4/1
無国籍・その他,26,2023/5/1
韓国,1264,2022/1/1
韓国,913,2022/2/1
韓国,6694,2022/3/1
韓国,7699,2022/4/1
韓国,8805,2022/5/1
韓国,11168,2022/6/1
韓国,20384,2022/7/1
韓国,28515,2022/8/1
韓国,32764,2022/9/1
韓国,122959,2022/10/1
韓国,315421,2022/11/1
韓国,456165,2022/12/1
中国,1490,2022/1/1
中国,2359,2022/2/1
中国,9799,2022/3/1
中国,22371,2022/4/1
中国,17643,2022/5/1
中国,14657,2022/6/1
中国,14803,2022/7/1
中国,12332,2022/8/1
中国,17590,2022/9/1
中国,21498,2022/10/1
中国,21016,2022/11/1
中国,33567,2022/12/1
台湾,492,2022/1/1
台湾,601,2022/2/1
台湾,2461,2022/3/1
台湾,2838,2022/4/1
台湾,1861,2022/5/1
台湾,2416,2022/6/1
台湾,3945,2022/7/1
台湾,5007,2022/8/1
台湾,6756,2022/9/1
台湾,35028,2022/10/1
台湾,99533,2022/11/1
台湾,170159,2022/12/1
香港,71,2022/1/1
香港,70,2022/2/1
香港,488,2022/3/1
香港,1320,2022/4/1
香港,744,2022/5/1
香港,833,2022/6/1
香港,1091,2022/7/1
香港,1299,2022/8/1
香港,2824,2022/9/1
香港,36242,2022/10/1
香港,82989,2022/11/1
香港,141314,2022/12/1
タイ,356,2022/1/1
タイ,137,2022/2/1
タイ,2165,2022/3/1
タイ,3193,2022/4/1
タイ,2922,2022/5/1
タイ,2544,2022/6/1
タイ,4794,2022/7/1
タイ,5115,2022/8/1
タイ,7622,2022/9/1
タイ,34115,2022/10/1
タイ,52077,2022/11/1
タイ,82997,2022/12/1
シンガポール,72,2022/1/1
シンガポール,86,2022/2/1
シンガポール,294,2022/3/1
シンガポール,597,2022/4/1
シンガポール,1215,2022/5/1
シンガポール,1388,2022/6/1
シンガポール,1967,2022/7/1
シンガポール,1763,2022/8/1
シンガポール,2887,2022/9/1
シンガポール,14336,2022/10/1
シンガポール,40321,2022/11/1
シンガポール,67043,2022/12/1
マレーシア,171,2022/1/1
マレーシア,109,2022/2/1
マレーシア,569,2022/3/1
マレーシア,1094,2022/4/1
マレーシア,1636,2022/5/1
マレーシア,1165,2022/6/1
マレーシア,1616,2022/7/1
マレーシア,2248,2022/8/1
マレーシア,2967,2022/9/1
マレーシア,8773,2022/10/1
マレーシア,17519,2022/11/1
マレーシア,36228,2022/12/1
インドネシア,484,2022/1/1
インドネシア,539,2022/2/1
インドネシア,5486,2022/3/1
インドネシア,11666,2022/4/1
インドネシア,8720,2022/5/1
インドネシア,7041,2022/6/1
インドネシア,7212,2022/7/1
インドネシア,6933,2022/8/1
インドネシア,9186,2022/9/1
インドネシア,11085,2022/10/1
インドネシア,16960,2022/11/1
インドネシア,34411,2022/12/1
フィリピン,952,2022/1/1
フィリピン,952,2022/2/1
フィリピン,4211,2022/3/1
フィリピン,8485,2022/4/1
フィリピン,6699,2022/5/1
フィリピン,5935,2022/6/1
フィリピン,6888,2022/7/1
フィリピン,7824,2022/8/1
フィリピン,8479,2022/9/1
フィリピン,14775,2022/10/1
フィリピン,21689,2022/11/1
フィリピン,39953,2022/12/1
ベトナム,424,2022/1/1
ベトナム,2613,2022/2/1
ベトナム,10096,2022/3/1
ベトナム,29810,2022/4/1
ベトナム,39040,2022/5/1
ベトナム,22877,2022/6/1
ベトナム,22738,2022/7/1
ベトナム,33052,2022/8/1
ベトナム,30871,2022/9/1
ベトナム,30811,2022/10/1
ベトナム,33584,2022/11/1
ベトナム,28197,2022/12/1
インド,2058,2022/1/1
インド,1660,2022/2/1
インド,2279,2022/3/1
インド,3649,2022/4/1
インド,4501,2022/5/1
インド,3454,2022/6/1
インド,4178,2022/7/1
インド,5502,2022/8/1
インド,5223,2022/9/1
インド,6006,2022/10/1
インド,8357,2022/11/1
インド,7447,2022/12/1
イスラエル,23,2022/1/1
イスラエル,4,2022/2/1
イスラエル,63,2022/3/1
イスラエル,147,2022/4/1
イスラエル,273,2022/5/1
イスラエル,239,2022/6/1
イスラエル,322,2022/7/1
イスラエル,256,2022/8/1
イスラエル,716,2022/9/1
イスラエル,2065,2022/10/1
イスラエル,2744,2022/11/1
イスラエル,821,2022/12/1
トルコ,33,2022/1/1
トルコ,37,2022/2/1
トルコ,126,2022/3/1
トルコ,181,2022/4/1
トルコ,217,2022/5/1
トルコ,286,2022/6/1
トルコ,270,2022/7/1
トルコ,408,2022/8/1
トルコ,545,2022/9/1
トルコ,1205,2022/10/1
トルコ,1893,2022/11/1
トルコ,1928,2022/12/1
GCC6か国,105,2022/1/1
GCC6か国,36,2022/2/1
GCC6か国,107,2022/3/1
GCC6か国,109,2022/4/1
GCC6か国,140,2022/5/1
GCC6か国,237,2022/6/1
GCC6か国,343,2022/7/1
GCC6か国,262,2022/8/1
GCC6か国,571,2022/9/1
GCC6か国,815,2022/10/1
GCC6か国,1885,2022/11/1
GCC6か国,2015,2022/12/1
マカオ,5,2022/1/1
マカオ,3,2022/2/1
マカオ,9,2022/3/1
マカオ,42,2022/4/1
マカオ,32,2022/5/1
マカオ,12,2022/6/1
マカオ,35,2022/7/1
マカオ,13,2022/8/1
マカオ,57,2022/9/1
マカオ,186,2022/10/1
マカオ,273,2022/11/1
マカオ,692,2022/12/1
モンゴル,186,2022/1/1
モンゴル,198,2022/2/1
モンゴル,1211,2022/3/1
モンゴル,2086,2022/4/1
モンゴル,1042,2022/5/1
モンゴル,1065,2022/6/1
モンゴル,1669,2022/7/1
モンゴル,2576,2022/8/1
モンゴル,2699,2022/9/1
モンゴル,2010,2022/10/1
モンゴル,2102,2022/11/1
モンゴル,2423,2022/12/1
その他アジア,3163,2022/1/1
その他アジア,4078,2022/2/1
その他アジア,8490,2022/3/1
その他アジア,23359,2022/4/1
その他アジア,26373,2022/5/1
その他アジア,16775,2022/6/1
その他アジア,11877,2022/7/1
その他アジア,11272,2022/8/1
その他アジア,12790,2022/9/1
その他アジア,13944,2022/10/1
その他アジア,19697,2022/11/1
その他アジア,16070,2022/12/1
英国,485,2022/1/1
英国,148,2022/2/1
英国,763,2022/3/1
英国,1610,2022/4/1
英国,1926,2022/5/1
英国,2044,2022/6/1
英国,2889,2022/7/1
英国,3924,2022/8/1
英国,4494,2022/9/1
英国,10309,2022/10/1
英国,13607,2022/11/1
英国,15297,2022/12/1
フランス,676,2022/1/1
フランス,140,2022/2/1
フランス,835,2022/3/1
フランス,1735,2022/4/1
フランス,2008,2022/5/1
フランス,2351,2022/6/1
フランス,3561,2022/7/1
フランス,3512,2022/8/1
フランス,5310,2022/9/1
フランス,11074,2022/10/1
フランス,10810,2022/11/1
フランス,10770,2022/12/1
ドイツ,335,2022/1/1
ドイツ,81,2022/2/1
ドイツ,714,2022/3/1
ドイツ,1649,2022/4/1
ドイツ,2241,2022/5/1
ドイツ,2089,2022/6/1
ドイツ,3520,2022/7/1
ドイツ,3458,2022/8/1
ドイツ,5300,2022/9/1
ドイツ,8943,2022/10/1
ドイツ,9673,2022/11/1
ドイツ,7745,2022/12/1
イタリア,252,2022/1/1
イタリア,46,2022/2/1
イタリア,394,2022/3/1
イタリア,800,2022/4/1
イタリア,897,2022/5/1
イタリア,1009,2022/6/1
イタリア,1384,2022/7/1
イタリア,1582,2022/8/1
イタリア,2647,2022/9/1
イタリア,4505,2022/10/1
イタリア,5237,2022/11/1
イタリア,4930,2022/12/1
ロシア,220,2022/1/1
ロシア,112,2022/2/1
ロシア,558,2022/3/1
ロシア,751,2022/4/1
ロシア,357,2022/5/1
ロシア,548,2022/6/1
ロシア,778,2022/7/1
ロシア,655,2022/8/1
ロシア,1207,2022/9/1
ロシア,1580,2022/10/1
ロシア,1975,2022/11/1
ロシア,1583,2022/12/1
スペイン,301,2022/1/1
スペイン,53,2022/2/1
スペイン,262,2022/3/1
スペイン,444,2022/4/1
スペイン,517,2022/5/1
スペイン,539,2022/6/1
スペイン,816,2022/7/1
スペイン,1116,2022/8/1
スペイン,1952,2022/9/1
スペイン,2819,2022/10/1
スペイン,3622,2022/11/1
スペイン,3485,2022/12/1
スウェーデン,65,2022/1/1
スウェーデン,12,2022/2/1
スウェーデン,109,2022/3/1
スウェーデン,258,2022/4/1
スウェーデン,332,2022/5/1
スウェーデン,444,2022/6/1
スウェーデン,368,2022/7/1
スウェーデン,516,2022/8/1
スウェーデン,761,2022/9/1
スウェーデン,1498,2022/10/1
スウェーデン,1754,2022/11/1
スウェーデン,1783,2022/12/1
オランダ,77,2022/1/1
オランダ,18,2022/2/1
オランダ,195,2022/3/1
オランダ,381,2022/4/1
オランダ,534,2022/5/1
オランダ,543,2022/6/1
オランダ,764,2022/7/1
オランダ,630,2022/8/1
オランダ,1186,2022/9/1
オランダ,2409,2022/10/1
オランダ,2732,2022/11/1
オランダ,2595,2022/12/1
スイス,40,2022/1/1
スイス,21,2022/2/1
スイス,132,2022/3/1
スイス,322,2022/4/1
スイス,314,2022/5/1
スイス,350,2022/6/1
スイス,653,2022/7/1
スイス,518,2022/8/1
スイス,818,2022/9/1
スイス,1852,2022/10/1
スイス,1943,2022/11/1
スイス,1954,2022/12/1
ベルギー,47,2022/1/1
ベルギー,13,2022/2/1
ベルギー,129,2022/3/1
ベルギー,175,2022/4/1
ベルギー,235,2022/5/1
ベルギー,301,2022/6/1
ベルギー,406,2022/7/1
ベルギー,349,2022/8/1
ベルギー,708,2022/9/1
ベルギー,1375,2022/10/1
ベルギー,1333,2022/11/1
ベルギー,1540,2022/12/1
フィンランド,42,2022/1/1
フィンランド,11,2022/2/1
フィンランド,70,2022/3/1
フィンランド,147,2022/4/1
フィンランド,241,2022/5/1
フィンランド,235,2022/6/1
フィンランド,188,2022/7/1
フィンランド,296,2022/8/1
フィンランド,544,2022/9/1
フィンランド,885,2022/10/1
フィンランド,992,2022/11/1
フィンランド,957,2022/12/1
ポーランド,50,2022/1/1
ポーランド,9,2022/2/1
ポーランド,88,2022/3/1
ポーランド,119,2022/4/1
ポーランド,190,2022/5/1
ポーランド,263,2022/6/1
ポーランド,328,2022/7/1
ポーランド,339,2022/8/1
ポーランド,692,2022/9/1
ポーランド,1110,2022/10/1
ポーランド,1628,2022/11/1
ポーランド,929,2022/12/1
デンマーク,45,2022/1/1
デンマーク,11,2022/2/1
デンマーク,87,2022/3/1
デンマーク,167,2022/4/1
デンマーク,263,2022/5/1
デンマーク,289,2022/6/1
デンマーク,258,2022/7/1
デンマーク,433,2022/8/1
デンマーク,570,2022/9/1
デンマーク,1175,2022/10/1
デンマーク,1150,2022/11/1
デンマーク,955,2022/12/1
ノルウェー,28,2022/1/1
ノルウェー,10,2022/2/1
ノルウェー,80,2022/3/1
ノルウェー,99,2022/4/1
ノルウェー,134,2022/5/1
ノルウェー,141,2022/6/1
ノルウェー,157,2022/7/1
ノルウェー,230,2022/8/1
ノルウェー,484,2022/9/1
ノルウェー,732,2022/10/1
ノルウェー,755,2022/11/1
ノルウェー,886,2022/12/1
オーストリア,39,2022/1/1
オーストリア,9,2022/2/1
オーストリア,81,2022/3/1
オーストリア,158,2022/4/1
オーストリア,234,2022/5/1
オーストリア,219,2022/6/1
オーストリア,379,2022/7/1
オーストリア,324,2022/8/1
オーストリア,570,2022/9/1
オーストリア,1091,2022/10/1
オーストリア,1030,2022/11/1
オーストリア,891,2022/12/1
ポルトガル,22,2022/1/1
ポルトガル,8,2022/2/1
ポルトガル,68,2022/3/1
ポルトガル,153,2022/4/1
ポルトガル,98,2022/5/1
ポルトガル,139,2022/6/1
ポルトガル,193,2022/7/1
ポルトガル,182,2022/8/1
ポルトガル,221,2022/9/1
ポルトガル,648,2022/10/1
ポルトガル,748,2022/11/1
ポルトガル,696,2022/12/1
アイルランド,72,2022/1/1
アイルランド,19,2022/2/1
アイルランド,62,2022/3/1
アイルランド,131,2022/4/1
アイルランド,204,2022/5/1
アイルランド,216,2022/6/1
アイルランド,272,2022/7/1
アイルランド,423,2022/8/1
アイルランド,367,2022/9/1
アイルランド,827,2022/10/1
アイルランド,971,2022/11/1
アイルランド,894,2022/12/1
その他ヨーロッパ,372,2022/1/1
その他ヨーロッパ,208,2022/2/1
その他ヨーロッパ,1131,2022/3/1
その他ヨーロッパ,2360,2022/4/1
その他ヨーロッパ,1577,2022/5/1
その他ヨーロッパ,1690,2022/6/1
その他ヨーロッパ,2263,2022/7/1
その他ヨーロッパ,2442,2022/8/1
その他ヨーロッパ,3541,2022/9/1
その他ヨーロッパ,5294,2022/10/1
その他ヨーロッパ,5599,2022/11/1
その他ヨーロッパ,4426,2022/12/1
米国,1785,2022/1/1
米国,595,2022/2/1
米国,3199,2022/3/1
米国,5214,2022/4/1
米国,8066,2022/5/1
米国,9724,2022/6/1
米国,14127,2022/7/1
米国,15823,2022/8/1
米国,17965,2022/9/1
米国,53242,2022/10/1
米国,84289,2022/11/1
米国,109484,2022/12/1
カナダ,223,2022/1/1
カナダ,101,2022/2/1
カナダ,362,2022/3/1
カナダ,711,2022/4/1
カナダ,949,2022/5/1
カナダ,1179,2022/6/1
カナダ,1622,2022/7/1
カナダ,2009,2022/8/1
カナダ,2396,2022/9/1
カナダ,9847,2022/10/1
カナダ,15868,2022/11/1
カナダ,20610,2022/12/1
メキシコ,110,2022/1/1
メキシコ,22,2022/2/1
メキシコ,165,2022/3/1
メキシコ,217,2022/4/1
メキシコ,229,2022/5/1
メキシコ,268,2022/6/1
メキシコ,371,2022/7/1
メキシコ,514,2022/8/1
メキシコ,771,2022/9/1
メキシコ,1951,2022/10/1
メキシコ,2037,2022/11/1
メキシコ,2497,2022/12/1
その他北アメリカ,119,2022/1/1
その他北アメリカ,37,2022/2/1
その他北アメリカ,99,2022/3/1
その他北アメリカ,180,2022/4/1
その他北アメリカ,186,2022/5/1
その他北アメリカ,122,2022/6/1
その他北アメリカ,217,2022/7/1
その他北アメリカ,299,2022/8/1
その他北アメリカ,391,2022/9/1
その他北アメリカ,579,2022/10/1
その他北アメリカ,612,2022/11/1
その他北アメリカ,626,2022/12/1
ブラジル,279,2022/1/1
ブラジル,117,2022/2/1
ブラジル,275,2022/3/1
ブラジル,434,2022/4/1
ブラジル,348,2022/5/1
ブラジル,424,2022/6/1
ブラジル,527,2022/7/1
ブラジル,602,2022/8/1
ブラジル,864,2022/9/1
ブラジル,1489,2022/10/1
ブラジル,1484,2022/11/1
ブラジル,2593,2022/12/1
その他南アメリカ,133,2022/1/1
その他南アメリカ,73,2022/2/1
その他南アメリカ,180,2022/3/1
その他南アメリカ,373,2022/4/1
その他南アメリカ,371,2022/5/1
その他南アメリカ,439,2022/6/1
その他南アメリカ,476,2022/7/1
その他南アメリカ,596,2022/8/1
その他南アメリカ,715,2022/9/1
その他南アメリカ,1488,2022/10/1
その他南アメリカ,1693,2022/11/1
その他南アメリカ,1679,2022/12/1
豪州,220,2022/1/1
豪州,134,2022/2/1
豪州,612,2022/3/1
豪州,1119,2022/4/1
豪州,1503,2022/5/1
豪州,1639,2022/6/1
豪州,2330,2022/7/1
豪州,2697,2022/8/1
豪州,4689,2022/9/1
豪州,11677,2022/10/1
豪州,20193,2022/11/1
豪州,41835,2022/12/1
ニュージーランド,40,2022/1/1
ニュージーランド,26,2022/2/1
ニュージーランド,106,2022/3/1
ニュージーランド,228,2022/4/1
ニュージーランド,220,2022/5/1
ニュージーランド,309,2022/6/1
ニュージーランド,575,2022/7/1
ニュージーランド,594,2022/8/1
ニュージーランド,817,2022/9/1
ニュージーランド,1825,2022/10/1
ニュージーランド,2613,2022/11/1
ニュージーランド,4754,2022/12/1
その他オセアニア,6,2022/1/1
その他オセアニア,8,2022/2/1
その他オセアニア,38,2022/3/1
その他オセアニア,75,2022/4/1
その他オセアニア,57,2022/5/1
その他オセアニア,62,2022/6/1
その他オセアニア,68,2022/7/1
その他オセアニア,95,2022/8/1
その他オセアニア,157,2022/9/1
その他オセアニア,218,2022/10/1
その他オセアニア,236,2022/11/1
その他オセアニア,146,2022/12/1
無国籍・その他,3,2022/1/1
無国籍・その他,0,2022/2/1
無国籍・その他,7,2022/3/1
無国籍・その他,3,2022/4/1
無国籍・その他,3,2022/5/1
無国籍・その他,9,2022/6/1
無国籍・その他,11,2022/7/1
無国籍・その他,9,2022/8/1
無国籍・その他,15,2022/9/1
無国籍・その他,13,2022/10/1
無国籍・その他,22,2022/11/1
無国籍・その他,23,2022/12/1
韓国,2535,2021/1/1
韓国,910,2021/2/1
韓国,1956,2021/3/1
韓国,1076,2021/4/1
韓国,950,2021/5/1
韓国,835,2021/6/1
韓国,1808,2021/7/1
韓国,1647,2021/8/1
韓国,2224,2021/9/1
韓国,1921,2021/10/1
韓国,2021,2021/11/1
韓国,1064,2021/12/1
中国,10225,2021/1/1
中国,1747,2021/2/1
中国,3951,2021/3/1
中国,3271,2021/4/1
中国,1823,2021/5/1
中国,1973,2021/6/1
中国,3931,2021/7/1
中国,2396,2021/8/1
中国,3960,2021/9/1
中国,4009,2021/10/1
中国,3189,2021/11/1
中国,1764,2021/12/1
台湾,592,2021/1/1
台湾,423,2021/2/1
台湾,552,2021/3/1
台湾,405,2021/4/1
台湾,327,2021/5/1
台湾,300,2021/6/1
台湾,549,2021/7/1
台湾,387,2021/8/1
台湾,390,2021/9/1
台湾,425,2021/10/1
台湾,390,2021/11/1
台湾,276,2021/12/1
香港,161,2021/1/1
香港,39,2021/2/1
香港,58,2021/3/1
香港,59,2021/4/1
香港,65,2021/5/1
香港,53,2021/6/1
香港,253,2021/7/1
香港,123,2021/8/1
香港,120,2021/9/1
香港,144,2021/10/1
香港,104,2021/11/1
香港,73,2021/12/1
タイ,719,2021/1/1
タイ,92,2021/2/1
タイ,145,2021/3/1
タイ,154,2021/4/1
タイ,235,2021/5/1
タイ,139,2021/6/1
タイ,233,2021/7/1
タイ,272,2021/8/1
タイ,153,2021/9/1
タイ,195,2021/10/1
タイ,248,2021/11/1
タイ,173,2021/12/1
シンガポール,85,2021/1/1
シンガポール,48,2021/2/1
シンガポール,61,2021/3/1
シンガポール,40,2021/4/1
シンガポール,37,2021/5/1
シンガポール,40,2021/6/1
シンガポール,172,2021/7/1
シンガポール,92,2021/8/1
シンガポール,70,2021/9/1
シンガポール,66,2021/10/1
シンガポール,95,2021/11/1
シンガポール,51,2021/12/1
マレーシア,242,2021/1/1
マレーシア,72,2021/2/1
マレーシア,99,2021/3/1
マレーシア,95,2021/4/1
マレーシア,146,2021/5/1
マレーシア,106,2021/6/1
マレーシア,233,2021/7/1
マレーシア,182,2021/8/1
マレーシア,231,2021/9/1
マレーシア,237,2021/10/1
マレーシア,130,2021/11/1
マレーシア,58,2021/12/1
インドネシア,922,2021/1/1
インドネシア,184,2021/2/1
インドネシア,263,2021/3/1
インドネシア,198,2021/4/1
インドネシア,305,2021/5/1
インドネシア,472,2021/6/1
インドネシア,360,2021/7/1
インドネシア,583,2021/8/1
インドネシア,518,2021/9/1
インドネシア,454,2021/10/1
インドネシア,688,2021/11/1
インドネシア,262,2021/12/1
フィリピン,998,2021/1/1
フィリピン,236,2021/2/1
フィリピン,218,2021/3/1
フィリピン,212,2021/4/1
フィリピン,624,2021/5/1
フィリピン,392,2021/6/1
フィリピン,495,2021/7/1
フィリピン,360,2021/8/1
フィリピン,441,2021/9/1
フィリピン,867,2021/10/1
フィリピン,544,2021/11/1
フィリピン,238,2021/12/1
ベトナム,20032,2021/1/1
ベトナム,194,2021/2/1
ベトナム,230,2021/3/1
ベトナム,332,2021/4/1
ベトナム,425,2021/5/1
ベトナム,416,2021/6/1
ベトナム,389,2021/7/1
ベトナム,416,2021/8/1
ベトナム,1012,2021/9/1
ベトナム,995,2021/10/1
